,variable,coef,abs_coef
297,year_built_1966,0.0,0.0
312,year_built_1981,0.0,0.0
321,year_built_1990,-0.0,0.0
320,year_built_1989,-0.0,0.0
319,year_built_1988,-0.0,0.0
318,year_built_1987,0.0,0.0
317,year_built_1986,0.0,0.0
315,year_built_1984,-0.0,0.0
314,year_built_1983,0.0,0.0
313,year_built_1982,-0.0,0.0
311,year_built_1980,0.0,0.0
298,year_built_1967,0.0,0.0
49,ms_subclass_90,-0.0,0.0
308,year_built_1977,-0.0,0.0
53,ms_subclass_180,0.0,0.0
303,year_built_1972,0.0,0.0
302,year_built_1971,0.0,0.0
301,year_built_1970,-0.0,0.0
300,year_built_1969,-0.0,0.0
299,year_built_1968,0.0,0.0
274,year_built_1941,0.0,0.0
273,year_built_1940,0.0,0.0
271,year_built_1938,0.0,0.0
236,year_built_1893,0.0,0.0
245,year_built_1911,0.0,0.0
244,year_built_1910,-0.0,0.0
243,year_built_1908,0.0,0.0
242,year_built_1905,0.0,0.0
62,alley_None,0.0,0.0
240,year_built_1900,-0.0,0.0
238,year_built_1896,-0.0,0.0
237,year_built_1895,0.0,0.0
234,year_built_1885,-0.0,0.0
247,year_built_1913,-0.0,0.0
233,year_built_1880,-0.0,0.0
232,year_built_1879,0.0,0.0
231,year_built_1875,0.0,0.0
230,neighborhood_Veenker,0.0,0.0
229,neighborhood_Timber,-0.0,0.0
64,lot_shape_IR2,0.0,0.0
224,neighborhood_SWISU,-0.0,0.0
66,lot_shape_Reg,0.0,0.0
246,year_built_1912,-0.0,0.0
248,year_built_1914,0.0,0.0
270,year_built_1937,0.0,0.0
259,year_built_1925,-0.0,0.0
269,year_built_1936,-0.0,0.0
268,year_built_1935,0.0,0.0
267,year_built_1934,-0.0,0.0
265,year_built_1931,-0.0,0.0
264,year_built_1930,-0.0,0.0
262,year_built_1928,-0.0,0.0
261,year_built_1927,0.0,0.0
260,year_built_1926,-0.0,0.0
258,year_built_1924,-0.0,0.0
249,year_built_1915,0.0,0.0
257,year_built_1923,0.0,0.0
256,year_built_1922,0.0,0.0
255,year_built_1921,0.0,0.0
254,year_built_1920,0.0,0.0
253,year_built_1919,-0.0,0.0
252,year_built_1918,-0.0,0.0
59,ms_zoning_RL,0.0,0.0
61,street_2,-0.0,0.0
306,year_built_1975,0.0,0.0
